NOMBRE PARCEL·LA;DISTÀNCIA AL CAMÍ;ESPÈCIE;ESTRAT
1;0;Listus salvipolius;3
1;0;Quercus cerrioides;3
1;0;Hedera helix;3
1;0;Quercus ilex;8
1;0;Pistacia lentiscus;2
1;0;Cistus albidus;1
1;0;Rubia peregrina;2
1;0;Quercus suber;1
1;0;Ulex sp;1
1;0;Viburnum tinus;6
1;0;Erica arborea;6
1;0;Galium sp;1
1;0;Arbutus unedo;1
2;5;Quercus cerrioides;5
2;5;Cistus salviifolius;4
2;5;Erica arborea;10
2;5;Quercus ilex;12
2;5;Viburnum tinus;3
2;5;Quercus suber;2
2;5;Pistacia lentiscus;5
2;5;Hedera helix;6
2;5;Rubia peregrina;4
2;5;Arbutus unedo;2
2;5;Smilax aspera;1
2;5;Lonicera implexa;1
3;10;Quercus suber;4
3;10;Quercus ilex;12
3;10;Pistacia lentiscus;1
3;10;Hedera helix;2
3;10;Erica arborea;6
3;10;Rubia peregrina;2
3;10;Viburnum tinus;3
3;10;Quercus cerrioides;5
4;15;Erica arborea;5
4;15;Quercus cerrioides;3
4;15;Viburnum tinus;3
4;15;Hedera helix;1
4;15;Rubia peregrina;4
4;15;Quercus ilex;14
4;15;Cistus albidus;1
4;15;Ruscus aculeatus;1
5;20;Hedera helix;11
5;20;Erica arborea;8
5;20;Rubia peregrina;2
5;20;Quercus ilex;21
5;20;Quercus cerrioides;7
5;20;Pistacia lentiscus;1
5;20;Arbutus unedo;2
5;20;Cistus salviifolius;1
6;25;Quercus ilex;2
6;25;Estepa blanca;3
6;25;Erica arborea;2
6;25;Viburnum tinus;3
6;25;Hedera helix;3
6;25;Quercus cerrioides;1
6;25;Quercus coccifera;11
